Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
5_GJ_Port_Log2,1196,50.5,1.292,9646.2,850.5,11.34,8.07
1_EJ_Log1,889,56.81,1.524,8582.6,747.7,11.48,9.65
19_EA_3_WedThu_Long,666,55.86,1.453,5766.2,651.1,8.86,8.66
3_EJ_NightBlitz_21,991,56.71,1.43,5109.7,382.2,13.37,5.16
2_EJ_NightBlitz_20,991,56.1,1.39,5037.0,343.1,14.68,5.08
4_GJ_Port_Log1,918,56.75,1.411,4922.3,335.2,14.68,5.36
12_UJ_Short_Core,528,57.77,2.079,4286.3,190.0,22.56,8.12
6_GJ_Old_Mon,468,52.14,1.446,3911.2,657.4,5.95,8.36
18_EA_2_MonWed_Short,910,51.43,1.137,3220.9,2144.9,1.5,3.54
17_EA_1B_Wed_Short,290,59.31,1.591,3067.6,295.5,10.38,10.58
7_GJ_Mon_Blitz,566,54.77,1.339,3020.5,721.1,4.19,5.34
8_AJ_Core1,518,55.41,1.388,2934.1,337.4,8.7,5.66
27_EA_China_Demand,501,57.68,1.529,2890.8,332.0,8.71,5.77
28_GA_China_Demand,503,54.27,1.38,2678.1,475.9,5.63,5.32
22_GA_C_2,442,52.49,1.251,2569.6,839.2,3.06,5.81
26_AJ_China_Demand,450,58.67,1.635,2461.9,187.7,13.12,5.47
24_GA_D_1,416,56.25,1.331,2222.3,416.6,5.33,5.34
25_AU_China_Demand,918,53.92,1.313,1948.0,315.0,6.18,2.12
9_AJ_Core2,301,53.16,1.571,1924.8,237.6,8.1,6.39
23_GA_F_2,416,50.96,1.307,1732.6,869.4,1.99,4.16
13_UJ_Fix_MidWeek,187,60.43,2.526,1712.6,81.4,21.04,9.16
21_GA_B_3,566,52.3,1.147,1701.5,1456.4,1.17,3.01
11_AJ_SatB,352,51.42,1.395,1551.6,329.2,4.71,4.41
20_EA_1A_MonTue_Short,738,50.81,1.134,1312.3,642.7,2.04,1.78
14_UJ_Sat_3rd,69,71.01,3.677,1269.8,73.2,17.35,18.4
16_UJ_T10A,58,65.52,2.23,501.5,54.5,9.2,8.65
15_UJ_Sat_Aug,64,51.56,1.643,348.0,72.4,4.81,5.44
10_AJ_SatA,353,47.31,1.113,228.7,354.2,0.65,0.65
