CategoryColumn,Category,Decision,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
Strategy,10_AJ_SatA,Accepted,250,43.6,0.933,-91.0,402.4,-0.23,-0.36
Strategy,10_AJ_SatA,Rejected,103,56.31,1.473,319.7,83.1,3.85,3.1
Strategy,11_AJ_SatB,Accepted,264,49.62,1.173,485.1,320.8,1.51,1.84
Strategy,11_AJ_SatB,Rejected,88,56.82,1.943,1066.5,152.4,7.0,12.12
Strategy,12_UJ_Short_Core,Accepted,344,56.4,1.842,1735.7,126.6,13.71,5.05
Strategy,12_UJ_Short_Core,Rejected,184,60.33,2.336,2550.6,182.7,13.96,13.86
Strategy,13_UJ_Fix_MidWeek,Accepted,127,55.12,1.931,650.7,127.8,5.09,5.12
Strategy,13_UJ_Fix_MidWeek,Rejected,60,71.67,3.509,1061.9,93.9,11.31,17.7
Strategy,14_UJ_Sat_3rd,Accepted,49,69.39,2.829,616.6,66.5,9.27,12.58
Strategy,14_UJ_Sat_3rd,Rejected,20,75.0,5.757,653.2,46.2,14.14,32.66
Strategy,15_UJ_Sat_Aug,Accepted,38,55.26,1.889,232.5,72.4,3.21,6.12
Strategy,15_UJ_Sat_Aug,Rejected,26,46.15,1.412,115.5,100.0,1.16,4.44
Strategy,16_UJ_T10A,Accepted,35,62.86,1.702,143.7,46.3,3.1,4.11
Strategy,16_UJ_T10A,Rejected,23,69.57,2.763,357.8,60.4,5.92,15.56
Strategy,17_EA_1B_Wed_Short,Accepted,216,61.11,1.696,2248.9,495.5,4.54,10.41
Strategy,17_EA_1B_Wed_Short,Rejected,74,54.05,1.418,818.7,224.1,3.65,11.06
Strategy,18_EA_2_MonWed_Short,Accepted,643,53.5,1.153,2196.7,1194.7,1.84,3.42
Strategy,18_EA_2_MonWed_Short,Rejected,267,46.44,1.112,1024.2,1547.2,0.66,3.84
Strategy,19_EA_3_WedThu_Long,Accepted,455,57.36,1.488,3486.1,351.3,9.92,7.66
Strategy,19_EA_3_WedThu_Long,Rejected,211,52.61,1.409,2280.1,651.1,3.5,10.81
Strategy,1_EJ_Log1,Accepted,631,56.74,1.403,4198.9,539.8,7.78,6.65
Strategy,1_EJ_Log1,Rejected,258,56.98,1.734,4383.7,730.0,6.01,16.99
Strategy,20_EA_1A_MonTue_Short,Accepted,518,49.81,1.055,345.5,1083.8,0.32,0.67
Strategy,20_EA_1A_MonTue_Short,Rejected,220,53.18,1.273,966.8,250.0,3.87,4.39
Strategy,21_GA_B_3,Accepted,404,50.74,1.117,816.7,1214.9,0.67,2.02
Strategy,21_GA_B_3,Rejected,162,56.17,1.192,884.8,1001.1,0.88,5.46
Strategy,22_GA_C_2,Accepted,345,51.59,1.193,1498.4,639.8,2.34,4.34
Strategy,22_GA_C_2,Rejected,97,55.67,1.431,1071.2,415.4,2.58,11.04
Strategy,23_GA_F_2,Accepted,317,51.1,1.22,802.4,661.5,1.21,2.53
Strategy,23_GA_F_2,Rejected,99,50.51,1.468,930.2,446.2,2.08,9.4
Strategy,24_GA_D_1,Accepted,278,53.96,1.088,366.4,442.0,0.83,1.32
Strategy,24_GA_D_1,Rejected,138,60.87,1.728,1855.9,361.0,5.14,13.45
Strategy,25_AU_China_Demand,Accepted,657,53.58,1.391,1450.4,139.5,10.4,2.21
Strategy,25_AU_China_Demand,Rejected,261,54.79,1.198,497.6,277.7,1.79,1.91
Strategy,26_AJ_China_Demand,Accepted,311,59.16,1.563,1273.0,181.7,7.01,4.09
Strategy,26_AJ_China_Demand,Rejected,139,57.55,1.736,1188.9,299.5,3.97,8.55
Strategy,27_EA_China_Demand,Accepted,331,58.91,1.674,1868.8,332.0,5.63,5.65
Strategy,27_EA_China_Demand,Rejected,170,55.29,1.38,1022.0,339.0,3.01,6.01
Strategy,28_GA_China_Demand,Accepted,317,56.15,1.47,1684.5,371.0,4.54,5.31
Strategy,28_GA_China_Demand,Rejected,186,51.08,1.286,993.6,718.6,1.38,5.34
Strategy,2_EJ_NightBlitz_20,Accepted,665,56.54,1.339,2604.3,333.8,7.8,3.92
Strategy,2_EJ_NightBlitz_20,Rejected,326,55.21,1.467,2432.7,326.3,7.46,7.46
Strategy,3_EJ_NightBlitz_21,Accepted,659,55.08,1.231,1652.9,384.6,4.3,2.51
Strategy,3_EJ_NightBlitz_21,Rejected,332,59.94,1.735,3456.8,318.1,10.87,10.41
Strategy,4_GJ_Port_Log1,Accepted,547,57.4,1.443,2417.6,622.6,3.88,4.42
Strategy,4_GJ_Port_Log1,Rejected,371,55.8,1.384,2504.7,446.9,5.6,6.75
Strategy,5_GJ_Port_Log2,Accepted,834,51.2,1.292,5922.2,876.8,6.75,7.1
Strategy,5_GJ_Port_Log2,Rejected,362,48.9,1.293,3724.0,1445.6,2.58,10.29
Strategy,6_GJ_Old_Mon,Accepted,374,53.21,1.39,2564.1,677.9,3.78,6.86
Strategy,6_GJ_Old_Mon,Rejected,94,47.87,1.615,1347.1,378.5,3.56,14.33
Strategy,7_GJ_Mon_Blitz,Accepted,410,53.9,1.273,1573.2,516.1,3.05,3.84
Strategy,7_GJ_Mon_Blitz,Rejected,156,57.05,1.459,1447.3,537.2,2.69,9.28
Strategy,8_AJ_Core1,Accepted,338,54.44,1.214,880.0,370.3,2.38,2.6
Strategy,8_AJ_Core1,Rejected,180,57.22,1.594,2054.1,282.1,7.28,11.41
Strategy,9_AJ_Core2,Accepted,200,53.0,1.318,646.3,191.8,3.37,3.23
Strategy,9_AJ_Core2,Rejected,101,53.47,1.954,1278.5,169.5,7.54,12.66
