Strategy,Group,TotalTrades,AcceptedTrades,RejectedTrades,RejectedRatePct,TotalPips_All,TotalPips_Accepted,TotalPips_Rejected,AvgPips_All,AvgPips_Accepted,AvgPips_Rejected
15_UJ_Sat_Aug,CrossJPY_16,64,38,26,40.62,348.0,232.5,115.5,5.44,6.12,4.44
10_AJ_SatA,CrossJPY_16,353,250,103,29.18,228.7,-91.0,319.7,0.65,-0.36,3.1
16_UJ_T10A,CrossJPY_16,58,35,23,39.66,501.5,143.7,357.8,8.65,4.11,15.56
25_AU_China_Demand,China_Demand,918,657,261,28.43,1948.0,1450.4,497.6,2.12,2.21,1.91
14_UJ_Sat_3rd,CrossJPY_16,69,49,20,28.99,1269.8,616.6,653.2,18.4,12.58,32.66
17_EA_1B_Wed_Short,EA_Rev4,290,216,74,25.52,3067.6,2248.9,818.7,10.58,10.41,11.06
21_GA_B_3,GA,566,404,162,28.62,1701.5,816.7,884.8,3.01,2.02,5.46
23_GA_F_2,GA,416,317,99,23.8,1732.6,802.4,930.2,4.16,2.53,9.4
20_EA_1A_MonTue_Short,EA_Rev4,738,518,220,29.81,1312.3,345.5,966.8,1.78,0.67,4.39
28_GA_China_Demand,China_Demand,503,317,186,36.98,2678.1,1684.5,993.6,5.32,5.31,5.34
27_EA_China_Demand,China_Demand,501,331,170,33.93,2890.8,1868.8,1022.0,5.77,5.65,6.01
18_EA_2_MonWed_Short,EA_Rev4,910,643,267,29.34,3220.9,2196.7,1024.2,3.54,3.42,3.84
13_UJ_Fix_MidWeek,CrossJPY_16,187,127,60,32.09,1712.6,650.7,1061.9,9.16,5.12,17.7
11_AJ_SatB,CrossJPY_16,352,264,88,25.0,1551.6,485.1,1066.5,4.41,1.84,12.12
22_GA_C_2,GA,442,345,97,21.95,2569.6,1498.4,1071.2,5.81,4.34,11.04
26_AJ_China_Demand,China_Demand,450,311,139,30.89,2461.9,1273.0,1188.9,5.47,4.09,8.55
9_AJ_Core2,CrossJPY_16,301,200,101,33.55,1924.8,646.3,1278.5,6.39,3.23,12.66
6_GJ_Old_Mon,CrossJPY_16,468,374,94,20.09,3911.2,2564.1,1347.1,8.36,6.86,14.33
7_GJ_Mon_Blitz,CrossJPY_16,566,410,156,27.56,3020.5,1573.2,1447.3,5.34,3.84,9.28
24_GA_D_1,GA,416,278,138,33.17,2222.3,366.4,1855.9,5.34,1.32,13.45
8_AJ_Core1,CrossJPY_16,518,338,180,34.75,2934.1,880.0,2054.1,5.66,2.6,11.41
19_EA_3_WedThu_Long,EA_Rev4,666,455,211,31.68,5766.2,3486.1,2280.1,8.66,7.66,10.81
2_EJ_NightBlitz_20,CrossJPY_16,991,665,326,32.9,5037.0,2604.3,2432.7,5.08,3.92,7.46
4_GJ_Port_Log1,CrossJPY_16,918,547,371,40.41,4922.3,2417.6,2504.7,5.36,4.42,6.75
12_UJ_Short_Core,CrossJPY_16,528,344,184,34.85,4286.3,1735.7,2550.6,8.12,5.05,13.86
3_EJ_NightBlitz_21,CrossJPY_16,991,659,332,33.5,5109.7,1652.9,3456.8,5.16,2.51,10.41
5_GJ_Port_Log2,CrossJPY_16,1196,834,362,30.27,9646.2,5922.2,3724.0,8.07,7.1,10.29
1_EJ_Log1,CrossJPY_16,889,631,258,29.02,8582.6,4198.9,4383.7,9.65,6.65,16.99
