PlateauFlag,PlateauOptions,PlateauCount,BestOptionByOOS,BestOOSMoneyRoMD,Strategy,Group
TooFewValidChoices,,0,P85,0.21,10_AJ_SatA,CrossJPY_16
TooFewValidChoices,,0,P80,22.36,11_AJ_SatB,CrossJPY_16
SinglePeak,P75,1,P75,4.89,12_UJ_Short_Core,CrossJPY_16
SinglePeak,P90,1,P90,19.68,13_UJ_Fix_MidWeek,CrossJPY_16
TooFewValidChoices,,0,P90,2.04,14_UJ_Sat_3rd,CrossJPY_16
TooFewValidChoices,,0,P80,1.47,15_UJ_Sat_Aug,CrossJPY_16
TooFewValidChoices,,0,P75,-0.65,16_UJ_T10A,CrossJPY_16
SinglePeak,P75,1,P75,7.75,17_EA_1B_Wed_Short,EA_Rev4
SinglePeak,P75,1,P75,0.72,18_EA_2_MonWed_Short,EA_Rev4
Plateau,"P70,P75",2,P75,2.42,19_EA_3_WedThu_Long,EA_Rev4
SinglePeak,P80,1,P80,1.15,1_EJ_Log1,CrossJPY_16
SinglePeak,P95,1,P95,0.14,20_EA_1A_MonTue_Short,EA_Rev4
SinglePeak,P90,1,P90,0.53,21_GA_B_3,GA
SinglePeak,P80,1,P80,0.59,22_GA_C_2,GA
WeakPlateau,"P70,P90",2,P70,0.28,23_GA_F_2,GA
StrongPlateau,"P70,P75,P80,P85",4,P85,0.31,24_GA_D_1,GA
SinglePeak,P90,1,P90,1.57,25_AU_China_Demand,China_Demand
SinglePeak,P95,1,P95,2.02,26_AJ_China_Demand,China_Demand
StrongPlateau,"P75,P80,P95",3,P95,2.71,27_EA_China_Demand,China_Demand
StrongPlateau,"P85,P90,P95",3,P90,6.23,28_GA_China_Demand,China_Demand
SinglePeak,P85,1,P85,1.2,2_EJ_NightBlitz_20,CrossJPY_16
SinglePeak,P95,1,P95,2.1,3_EJ_NightBlitz_21,CrossJPY_16
SinglePeak,P95,1,P95,3.57,4_GJ_Port_Log1,CrossJPY_16
Plateau,"P90,P95",2,P95,0.62,5_GJ_Port_Log2,CrossJPY_16
SinglePeak,P70,1,P70,7.11,6_GJ_Old_Mon,CrossJPY_16
Plateau,"P90,P95",2,P95,3.18,7_GJ_Mon_Blitz,CrossJPY_16
SinglePeak,,0,P95,-0.09,8_AJ_Core1,CrossJPY_16
TooFewValidChoices,,0,P90,0.28,9_AJ_Core2,CrossJPY_16
