Dataset,RiskPct,RiskPctLabel,Year,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015,630,500000.0,705556.0,205556.0,41.11,54804.0,9.51
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016,548,705556.0,1352098.0,646541.0,91.64,140401.0,11.74
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2017,1180,1352098.0,3068946.0,1716849.0,126.98,363520.0,18.84
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2018,1171,3068946.0,6245917.0,3176970.0,103.52,864832.0,13.6
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2019,1261,6245917.0,9214397.0,2968480.0,47.53,1884274.0,23.21
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2020,965,9214397.0,17924744.0,8710347.0,94.53,1558448.0,11.95
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2021,1313,17924744.0,26226675.0,8301931.0,46.32,2572690.0,14.02
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022,601,26226675.0,37288639.0,11061964.0,42.18,3219244.0,8.58
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2023,945,37288639.0,72789912.0,35501272.0,95.21,10740528.0,18.76
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2024,997,72789912.0,140830495.0,68040583.0,93.48,9064950.0,11.63
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2025,764,140830495.0,245398313.0,104567818.0,74.25,16259889.0,8.67
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2026,182,245398313.0,288614627.0,43216314.0,17.61,11610407.0,4.23
