Dataset,Strategy,Trades,TotalYenPnL,WinRate,PF_Yen,AvgYenPnL,WorstTradeYen,BestTradeYen
Filter_v2_Best,6_GJ_Old_Mon,450,3281156025354.0,52.44,2.18,7291457834.0,-448024196553.0,564256604740.0
Filter_v2_Best,18_EA_2_MonWed_Short,804,1744713311859.0,53.11,1.418,2170041433.0,-454312886264.0,487205511561.0
Filter_v2_Best,3_EJ_NightBlitz_21,827,1577583896146.0,56.71,1.703,1907598423.0,-177065451343.0,268444842261.0
Filter_v2_Best,22_GA_C_2,357,1513779287511.0,51.82,1.701,4240278116.0,-321485691902.0,519214727159.0
Filter_v2_Best,2_EJ_NightBlitz_20,831,1468532430253.0,56.56,1.295,1767187040.0,-448024196553.0,408822569494.0
Filter_v2_Best,19_EA_3_WedThu_Long,510,1365383752904.0,57.45,1.553,2677223045.0,-333053453659.0,484095619919.0
Filter_v2_Best,17_EA_1B_Wed_Short,218,1269552050398.0,58.26,2.531,5823633259.0,-288164173573.0,343992572956.0
Filter_v2_Best,28_GA_China_Demand,424,1212720460133.0,54.48,1.648,2860189764.0,-337815840066.0,318847163484.0
Filter_v2_Best,5_GJ_Port_Log2,960,983376240843.0,51.46,1.135,1024350251.0,-347908337161.0,862785241189.0
Filter_v2_Best,26_AJ_China_Demand,378,935319772260.0,58.2,2.682,2474390932.0,-337815840066.0,392617076343.0
Filter_v2_Best,14_UJ_Sat_3rd,62,829709365701.0,69.35,4.951,13382409124.0,-133696578920.0,256790345333.0
Filter_v2_Best,7_GJ_Mon_Blitz,526,822552828418.0,54.56,1.596,1563788647.0,-338775219393.0,284854472975.0
Filter_v2_Best,4_GJ_Port_Log1,721,720126790896.0,56.31,1.525,998788892.0,-135131695335.0,181564933409.0
Filter_v2_Best,13_UJ_Fix_MidWeek,150,680766145186.0,58.0,12.161,4538440968.0,-16859239086.0,124148343471.0
Filter_v2_Best,12_UJ_Short_Core,452,618371505412.0,56.64,1.182,1368078552.0,-347908337161.0,560030245691.0
Filter_v2_Best,24_GA_D_1,353,610317241128.0,56.37,1.373,1728944026.0,-228403842891.0,407100025177.0
Filter_v2_Best,25_AU_China_Demand,787,575785852063.0,53.37,1.167,731621159.0,-337815840066.0,347071511969.0
Filter_v2_Best,9_AJ_Core2,225,519166200606.0,54.22,1.314,2307405336.0,-341621960875.0,918683007013.0
Filter_v2_Best,27_EA_China_Demand,416,386822785518.0,57.69,1.16,929862465.0,-337815840066.0,341621960875.0
Filter_v2_Best,23_GA_F_2,340,377247804294.0,50.88,1.432,1109552366.0,-143600435877.0,192800943729.0
Filter_v2_Best,10_AJ_SatA,275,155587510837.0,45.45,1.776,565772767.0,-41053183785.0,160742845951.0
Filter_v2_Best,11_AJ_SatB,278,128253900993.0,49.28,1.413,461344968.0,-61675205101.0,231469698170.0
Filter_v2_Best,15_UJ_Sat_Aug,50,101095984945.0,54.0,1.18,2021919699.0,-182610037782.0,319567566118.0
Filter_v2_Best,1_EJ_Log1,767,63847567047.0,57.63,1.012,83243243.0,-454312886264.0,316629058152.0
Filter_v2_Best,21_GA_B_3,535,21011325657.0,53.27,1.02,39273506.0,-101277698522.0,91895106540.0
Filter_v2_Best,20_EA_1A_MonTue_Short,694,-209884465229.0,51.15,0.957,-302427183.0,-454312886264.0,310790572860.0
Filter_v2_Best,8_AJ_Core1,517,-296739506477.0,55.51,0.893,-573964229.0,-454312886264.0,427590347163.0
Filter_v2_Best,16_UJ_T10A,41,-429777910943.0,63.41,0.142,-10482388072.0,-337815840066.0,35361892818.0
