Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,RoMD_Yen,WinRate,PF_Yen,AvgYenPnL,WorstTradeYen,BestTradeYen
Base_v1_2,Full_2015_2026Q1,15265,500000.0,6550427564991637.0,6550427564491637.0,1310085512898.33,1037057763728614.0,42.95,6.32,54.48,1.325,429114154241.0,-149975772270044.0,280535001660683.0
Base_v1_2,StrictIS_2015_2024,13724,500000.0,517292965551638.0,517292965051638.0,103458593010.33,50769879924488.0,42.95,10.19,54.46,1.518,37692579791.0,-8669572658385.0,23990833773371.0
Base_v1_2,StrictOOS_2025_2026Q1,1541,517292965551638.0,6550427564991637.0,6033134599439999.0,1166.29,1037057763728614.0,25.76,5.82,54.7,1.315,3915077611577.0,-149975772270044.0,280535001660683.0
Base_v1_2,Q1_2026,348,4736421108767614.0,6550427564991637.0,1814006456224023.0,38.3,1037057763728614.0,15.12,1.75,52.01,1.194,5212662230529.0,-149975772270044.0,280535001660683.0
Filter_v1_Best,Full_2015_2026Q1,13196,500000.0,340884573822665.0,340884573322665.0,68176914664.53,55637808658394.0,41.47,6.13,54.13,1.32,25832416893.0,-7650443053717.0,15078353129879.0
Filter_v1_Best,StrictIS_2015_2024,11807,500000.0,32079755374244.0,32079754874244.0,6415950974.85,3295014536223.0,41.47,9.74,54.15,1.443,2717011508.0,-570379499160.0,1425948747900.0
Filter_v1_Best,StrictOOS_2025_2026Q1,1389,32079755374244.0,340884573822665.0,308804818448421.0,962.62,55637808658394.0,21.67,5.55,53.92,1.311,222321683548.0,-7650443053717.0,15078353129879.0
Filter_v1_Best,Q1_2026,310,275760422074126.0,340884573822665.0,65124151748540.0,23.62,55637808658394.0,15.34,1.17,50.65,1.137,210077908866.0,-7650443053717.0,15078353129879.0
Filter_v2_Best,Full_2015_2026Q1,12948,500000.0,21026378653713.0,21026378153713.0,4205275630.74,2828898813897.0,42.11,7.43,54.6,1.342,1623909341.0,-454312886264.0,918683007013.0
Filter_v2_Best,StrictIS_2015_2024,11666,500000.0,3526144688542.0,3526144188542.0,705228837.71,394373461217.0,42.11,8.94,54.56,1.433,302258202.0,-63929167021.0,192294822198.0
Filter_v2_Best,StrictOOS_2025_2026Q1,1282,3526144688542.0,21026378653713.0,17500233965171.0,496.3,2828898813897.0,22.29,6.19,54.91,1.328,13650728522.0,-454312886264.0,918683007013.0
Filter_v2_Best,Q1_2026,284,15447278365991.0,21026378653713.0,5579100287722.0,36.12,2828898813897.0,14.97,1.97,52.46,1.237,19644719323.0,-454312886264.0,918683007013.0
