Label,Trades,FinalEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,RoMD_Yen,WinRate,PF_Yen,AvgYenPnL,WorstTradeYen,BestTradeYen
Base_v1_2_6_GJ_Old_Mon,468,813184030616274.0,813184030116274.0,162636806023.25,139956394217197.0,1401.91,5.81,52.14,2.037,1737572713924.0,-139956394217197.0,186269909159394.0
Base_v1_2_22_GA_C_2,442,504166407772966.0,504166407272966.0,100833281454.59,186013326685718.0,2843.65,2.71,52.49,1.789,1140647980256.0,-98573456191856.0,171400882594336.0
Base_v1_2_28_GA_China_Demand,503,500488759262866.0,500488758762866.0,100097751752.57,164231953212506.0,440.78,3.05,54.27,1.946,995007472690.0,-104739766079405.0,97757115007444.0
Base_v1_2_18_EA_2_MonWed_Short,910,500010339771991.0,500010339271991.0,100002067854.4,235535716855016.0,2919.73,2.12,51.43,1.368,549461911288.0,-149975772270044.0,151058018190075.0
Base_v1_2_3_EJ_NightBlitz_21,991,483251967482277.0,483251966982277.0,96650393396.46,148602214719609.0,253.48,3.25,56.71,1.642,487640733585.0,-51857105302983.0,90872780220631.0
Base_v1_2_26_AJ_China_Demand,450,424368777837807.0,424368777337807.0,84873755467.56,209479532158809.0,349.2,2.03,58.67,2.798,943041727417.0,-104739766079405.0,186204028585608.0
Base_v1_2_2_EJ_NightBlitz_20,991,391720249254865.0,391720248754865.0,78344049750.97,242269899718539.0,243.46,1.62,56.1,1.226,395277748491.0,-139956394217197.0,163227747266656.0
Base_v1_2_17_EA_1B_Wed_Short,290,358016007006916.0,358016006506916.0,71603201301.38,95127489839856.0,484.9,3.76,59.31,2.293,1234537953472.0,-95127489839856.0,95281326412831.0
Base_v1_2_25_AU_China_Demand,918,349402098523676.0,349402098023676.0,69880419604.74,242667178081522.0,284.34,1.44,53.92,1.341,380612307215.0,-104932123242850.0,104932123242850.0
Base_v1_2_12_UJ_Short_Core,528,317718933020394.0,317718932520394.0,63543786504.08,548563316684878.0,89.81,0.58,57.77,1.223,601740402501.0,-139947813481465.0,174945492771496.0
Base_v1_2_4_GJ_Port_Log1,918,308017501860835.0,308017501360835.0,61603500272.17,64926504730426.0,160.25,4.74,56.75,1.576,335531047234.0,-43804538630394.0,69825370585606.0
Base_v1_2_27_EA_China_Demand,501,272327958054440.0,272327957554440.0,54465591510.89,210457831433527.0,253.48,1.29,57.68,1.372,543568777554.0,-104739766079405.0,104739766079405.0
Base_v1_2_19_EA_3_WedThu_Long,666,257725488495626.0,257725487995626.0,51545097599.13,235881344336578.0,150.48,1.09,55.86,1.282,386975207201.0,-102120345790597.0,159807517341080.0
Base_v1_2_14_UJ_Sat_3rd,69,231554226318134.0,231554225818134.0,46310845163.63,38200125685470.0,679.5,6.06,71.01,5.523,3355858345190.0,-38200125685470.0,75206110947793.0
Base_v1_2_13_UJ_Fix_MidWeek,187,206588883544476.0,206588883044476.0,41317776608.9,32366521120163.0,128.41,6.38,60.43,4.698,1104753385265.0,-32366521120163.0,39309439258148.0
Base_v1_2_7_GJ_Mon_Blitz,566,199285088576098.0,199285088076098.0,39857017615.22,105828565781158.0,552.04,1.88,54.77,1.508,352093795187.0,-105828565781158.0,85031784624249.0
Base_v1_2_11_AJ_SatB,352,162482149236874.0,162482148736874.0,32496429747.37,104932123242850.0,439.94,1.55,51.42,1.972,461597013457.0,-104932123242850.0,109016201478430.0
Base_v1_2_9_AJ_Core2,301,161266178325020.0,161266177825020.0,32253235565.0,214527444325799.0,1549.42,0.75,53.16,1.35,535768032641.0,-100858868623653.0,280535001660683.0
Base_v1_2_23_GA_F_2,416,159698454188133.0,159698453688133.0,31939690737.63,70169813816529.0,6066.04,2.28,50.96,1.672,383890513673.0,-42581374413563.0,59116333507668.0
Base_v1_2_5_GJ_Port_Log2,1196,79388240010014.0,79388239510014.0,15877647902.0,371479797984990.0,416.07,0.21,50.5,1.031,66378126681.0,-104932123242850.0,253650854789241.0
Base_v1_2_24_GA_D_1,416,68155555870580.0,68155555370580.0,13631111074.12,171334571309891.0,2103.52,0.4,56.25,1.124,163835469641.0,-103606715943436.0,120661380171588.0
Base_v1_2_20_EA_1A_MonTue_Short,738,57321036845276.0,57321036345276.0,11464207269.06,316617657285437.0,1886.65,0.18,50.81,1.04,77670780956.0,-149975772270044.0,96360584793052.0
Base_v1_2_15_UJ_Sat_Aug,64,39003910021658.0,39003909521658.0,7800781904.33,107855249652885.0,3451.54,0.36,51.56,1.232,609436086276.0,-53927624826442.0,94373343446274.0
Base_v1_2_16_UJ_T10A,58,-11002398926571.0,-11002399426571.0,-2200479885.31,104739766079405.0,141.35,-0.11,65.52,0.927,-189696541837.0,-104739766079405.0,67848534849036.0
Base_v1_2_21_GA_B_3,566,-40628733754514.0,-40628734254514.0,-8125746850.9,100955708271461.0,2071.72,-0.4,52.3,0.867,-71782215997.0,-29905658989860.0,30336008481895.0
Base_v1_2_1_EJ_Log1,889,-46253355233092.0,-46253355733092.0,-9250671146.62,544044910283600.0,131.14,-0.09,56.81,0.973,-52028521635.0,-149975772270044.0,98923045765402.0
Base_v1_2_10_AJ_SatA,353,-59758210726734.0,-59758211226734.0,-11951642245.35,220466696772196.0,4848.42,-0.27,47.31,0.764,-169286717356.0,-136777904310280.0,52466061621425.0
Base_v1_2_8_AJ_Core1,518,-137071964764651.0,-137071965264651.0,-27414393052.93,314449392512883.0,304.51,-0.44,55.41,0.823,-264617693561.0,-149975772270044.0,144746024229401.0
