Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
1_EJ_Log1,15,53.33,0.344,-287.1,291.7,-0.98,-19.14,150.6,-437.7
12_UJ_Short_Core,15,40.0,0.621,-94.6,128.8,-0.73,-6.31,154.9,-249.5
8_AJ_Core1,13,46.15,0.831,-75.2,210.6,-0.36,-5.78,369.7,-444.9
9_AJ_Core2,7,28.57,0.651,-44.0,67.7,-0.65,-6.29,82.1,-126.1
5_GJ_Port_Log2,26,42.31,0.953,-43.6,311.6,-0.14,-1.68,878.9,-922.5
16_UJ_T10A,2,50.0,0.676,-14.6,45.0,-0.32,-7.3,30.4,-45.0
10_AJ_SatA,8,50.0,0.998,-0.2,75.5,-0.0,-0.03,84.6,-84.8
14_UJ_Sat_3rd,2,100.0,,27.9,0.0,,13.95,27.9,0.0
6_GJ_Old_Mon,5,60.0,1.464,46.4,50.0,0.93,9.28,146.4,-100.0
11_AJ_SatB,8,62.5,2.061,78.7,55.0,1.43,9.84,152.9,-74.2
7_GJ_Mon_Blitz,13,53.85,1.376,81.8,114.1,0.72,6.29,299.6,-217.8
2_EJ_NightBlitz_20,20,60.0,1.408,83.8,104.4,0.8,4.19,289.4,-205.6
13_UJ_Fix_MidWeek,5,80.0,53.353,89.0,0.0,,17.8,90.7,-1.7
3_EJ_NightBlitz_21,20,55.0,3.033,186.4,40.8,4.57,9.32,278.1,-91.7
4_GJ_Port_Log1,24,54.17,2.022,262.5,82.5,3.18,10.94,519.4,-256.9
