Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,SL,TP
7_GJ_Mon_Blitz,GJ,Long,2026-03-30 18:02:00,2026-03-30 23:02:00,-98.3,TimeExit,130,250
5_GJ_Port_Log2,GJ,Short,2026-01-13 09:55:00,2026-01-13 13:18:00,-90.0,SL,90,999
5_GJ_Port_Log2,GJ,Short,2026-01-22 09:55:00,2026-01-22 16:19:00,-90.0,SL,90,999
5_GJ_Port_Log2,GJ,Short,2026-01-30 09:55:00,2026-01-30 23:51:00,-90.0,SL,90,999
5_GJ_Port_Log2,GJ,Short,2026-02-24 09:55:00,2026-02-24 16:12:00,-90.0,SL,90,999
5_GJ_Port_Log2,GJ,Short,2026-03-05 09:55:00,2026-03-05 21:38:00,-90.0,SL,90,999
5_GJ_Port_Log2,GJ,Short,2026-02-20 09:55:00,2026-02-20 22:56:00,-90.0,SL,90,999
5_GJ_Port_Log2,GJ,Short,2026-01-20 09:55:00,2026-01-20 16:09:00,-90.0,SL,90,999
5_GJ_Port_Log2,GJ,Short,2026-02-13 09:55:00,2026-02-13 17:03:00,-90.0,SL,90,999
1_EJ_Log1,EJ,Long,2026-01-26 13:55:00,2026-01-26 17:35:00,-70.0,SL,70,250
1_EJ_Log1,EJ,Long,2026-03-02 13:55:00,2026-03-02 16:48:00,-70.0,SL,70,250
8_AJ_Core1,AJ,Long,2026-02-09 08:01:00,2026-02-09 10:28:00,-70.0,SL,70,110
8_AJ_Core1,AJ,Long,2026-01-26 08:01:00,2026-01-26 17:34:00,-70.0,SL,70,110
1_EJ_Log1,EJ,Long,2026-01-05 13:55:00,2026-01-05 19:50:00,-70.0,SL,70,250
8_AJ_Core1,AJ,Long,2026-02-02 08:01:00,2026-02-02 14:41:00,-70.0,SL,70,110
8_AJ_Core1,AJ,Long,2026-02-23 08:01:00,2026-02-23 11:04:00,-70.0,SL,70,110
8_AJ_Core1,AJ,Long,2026-03-23 08:01:00,2026-03-23 16:00:00,-70.0,SL,70,110
1_EJ_Log1,EJ,Long,2026-03-23 13:55:00,2026-03-23 18:48:00,-70.0,SL,70,250
1_EJ_Log1,EJ,Long,2026-03-30 13:55:00,2026-03-30 20:07:00,-70.0,SL,70,250
8_AJ_Core1,AJ,Long,2026-03-30 08:01:00,2026-03-30 22:34:00,-70.0,SL,70,110
1_EJ_Log1,EJ,Long,2026-03-16 13:55:00,2026-03-16 16:35:00,-70.0,SL,70,250
4_GJ_Port_Log1,GJ,Long,2026-02-11 00:00:00,2026-02-11 08:55:00,-56.7,TimeExit,130,90
11_AJ_SatB,AJ,Short,2026-01-30 18:57:00,2026-01-30 20:52:00,-55.0,SL,55,95
12_UJ_Short_Core,UJ,Short,2026-01-26 08:04:00,2026-01-26 08:48:00,-50.0,SL,50,999
6_GJ_Old_Mon,GJ,Long,2026-03-02 15:45:00,2026-03-02 16:51:00,-50.0,SL,50,210
6_GJ_Old_Mon,GJ,Long,2026-03-30 15:45:00,2026-03-30 16:19:00,-50.0,SL,50,210
12_UJ_Short_Core,UJ,Short,2026-02-24 08:04:00,2026-02-24 10:22:00,-50.0,SL,50,999
5_GJ_Port_Log2,GJ,Short,2026-03-10 09:55:00,2026-03-10 23:55:00,-48.0,TimeExit,90,999
10_AJ_SatA,AJ,Short,2026-03-27 10:58:00,2026-03-27 13:51:00,-45.6,TimeExit,50,25
2_EJ_NightBlitz_20,EJ,Long,2026-02-04 20:56:00,2026-02-04 23:34:00,-45.0,SL,45,70
