Strategy,ExitReason,Count
10_AJ_SatA,SL,5
10_AJ_SatA,TP,57
10_AJ_SatA,TimeExit,291
11_AJ_SatB,SL,25
11_AJ_SatB,TP,13
11_AJ_SatB,TimeExit,314
12_UJ_Short_Core,SL,55
12_UJ_Short_Core,TP,23
12_UJ_Short_Core,TimeExit,450
13_UJ_Fix_MidWeek,TP,2
13_UJ_Fix_MidWeek,TimeExit,185
14_UJ_Sat_3rd,SL,7
14_UJ_Sat_3rd,TP,15
14_UJ_Sat_3rd,TimeExit,47
15_UJ_Sat_Aug,SL,25
15_UJ_Sat_Aug,TP,21
15_UJ_Sat_Aug,TimeExit,18
16_UJ_T10A,SL,5
16_UJ_T10A,TP,2
16_UJ_T10A,TimeExit,51
1_EJ_Log1,SL,162
1_EJ_Log1,TP,5
1_EJ_Log1,TimeExit,722
2_EJ_NightBlitz_20,SL,216
2_EJ_NightBlitz_20,TP,113
2_EJ_NightBlitz_20,TimeExit,662
3_EJ_NightBlitz_21,SL,55
3_EJ_NightBlitz_21,TP,98
3_EJ_NightBlitz_21,TimeExit,838
4_GJ_Port_Log1,SL,20
4_GJ_Port_Log1,TP,65
4_GJ_Port_Log1,TimeExit,833
5_GJ_Port_Log2,SL,250
5_GJ_Port_Log2,TimeExit,946
6_GJ_Old_Mon,SL,152
6_GJ_Old_Mon,TP,6
6_GJ_Old_Mon,TimeExit,310
7_GJ_Mon_Blitz,SL,11
7_GJ_Mon_Blitz,TP,2
7_GJ_Mon_Blitz,TimeExit,553
8_AJ_Core1,SL,55
8_AJ_Core1,TP,18
8_AJ_Core1,TimeExit,445
9_AJ_Core2,SL,97
9_AJ_Core2,TP,26
9_AJ_Core2,TimeExit,178
